DateTime,GS_data,SPGI_data,IJJ_data,IJK_data,BTC-USD_data,ETC-USD_data,UVXY_data,LRCX_data,LTC-USD_data,ITA_data,NEE_data,SBUX_data,MCK_data,NOC_data,IHI_data,PSA_data,XLM-USD_data,QLD_data,XRP-USD_data,AGG_data,ETH-USD_data,BXP_data,VCR_data,MUB_data,ACN_data,CI_data,SUB_data,JNJ_data,TNA_data,SVXY_data,KR_data,STZ_data,LLY_data,ZBH_data,VBK_data,BDX_data,IJS_data,AIV_data,LMT_data,ECL_data,XEC_data,EBAY_data,TRV_data,TECS_data,ARNC_data,IGIB_data,TLH_data,KMB_data,VGT_data,GWW_data,USDT-USD_data,IWF_data,MSFT_data,UHS_data,IYH_data,SHW_data,FAZ_data,SPXS_data,VUG_data,IYW_data,CMI_data,HUM_data,DHR_data,XMR-USD_data,VAR_data,ITOT_data,DASH-USD_data,AMAT_data,VDC_data,ROST_data,QID_data,WHR_data,MLM_data,RTN_data,MCD_data,ZROZ_data,IEF_data,AAP_data,GVI_data
20150313,176.19,98.72,118.18,158.78,336.19,1.87278,45575.0,72.52,3.86,115.34,86.93,42.69,215.5,145.99,114.27,159.74,0.0024,35.13,0.0048,97.2,1.15,120.1,113.35,97.74,78.99,122.76,100.38,87.09,42.32,124.76,35.05,109.65,61.38,111.81,126.2,132.32,108.79,32.92,173.62,108.12,103.59,24.49,95.66,211.25,29.16,47.63,122.98,90.87,99.17,207.56,1.0,92.3,37.41,112.19,141.49,272.07,244.46,97.96,100.51,99.66,120.61,160.92,42.51,1.0,81.9,42.78,2.13,22.4,109.52,50.61,144.31,173.29,135.91,96.08,84.61,106.31,96.79,148.36,100.79
20150316,178.57,100.22,119.22,161.09,352.94,1.9274,43500.0,73.61,3.91,116.73,88.97,43.04,220.2,149.49,116.87,161.39,0.0025,36.05,0.0048,97.41,1.19,121.22,114.61,97.77,79.92,124.88,100.38,88.71,43.05,127.72,35.08,110.54,61.67,113.52,127.36,132.73,109.01,32.82,178.02,108.79,103.41,24.7,97.64,203.62,28.56,47.63,123.47,91.42,100.36,210.52,1.0,93.53,37.58,114.28,144.52,274.84,236.2,94.04,101.89,100.84,121.67,168.47,43.31,1.09,83.23,43.33,2.34,22.7,110.7,51.0,140.49,174.22,136.45,98.85,85.32,107.54,97.12,149.86,100.9
20150317,177.33,101.28,119.41,161.22,365.03,1.8602299999999998,43075.0,72.77,3.9,116.73,89.24,43.19,218.91,149.32,115.9,160.9,0.0024,36.14,0.0048,97.39,1.18,121.45,114.2,97.82,79.86,124.72,100.31,87.69,43.36,128.34,35.4,108.76,62.71,110.88,127.46,132.04,109.28,33.49,176.75,107.97,104.23,24.67,97.48,203.62,28.07,47.61,123.86,90.43,100.46,210.94,1.0,93.41,37.7,114.25,144.18,272.85,237.18,94.92,101.85,101.12,120.11,168.17,43.05,1.11,82.73,43.22,2.4,22.37,110.07,50.77,140.14,172.68,136.43,98.39,84.46,109.11,97.32,148.75,100.93
20150318,178.96,101.98,120.86,162.81,361.56,1.85675,39250.0,71.4,3.81,117.89,92.37,43.86,219.62,150.88,116.9,163.89,0.0023,36.87,0.0049,98.11,1.32,124.64,115.12,98.41,81.74,127.36,100.47,89.06,44.41,133.98,34.91,110.41,62.51,114.66,128.78,134.81,110.27,33.36,178.45,109.29,102.88,24.23,98.17,195.81,28.54,47.96,125.34,91.96,101.68,214.48,1.0,94.44,38.43,115.35,145.93,269.75,232.86,91.44,103.0,102.35,121.09,172.65,43.55,1.14,82.93,43.73,2.24,22.52,110.78,50.49,137.17,174.43,136.57,99.82,85.18,112.32,98.44,147.85,101.53
20150319,176.77,101.77,120.24,162.77,362.3,1.7381799999999998,39300.0,72.74,3.77,117.37,91.14,44.74,216.56,150.58,117.44,164.32,0.0023,36.96,0.0048,97.76,1.36,124.66,115.13,98.38,81.08,127.97,100.4,89.27,44.7,133.72,34.82,109.28,64.89,114.04,128.97,135.2,110.21,34.24,178.09,108.63,107.12,24.0,97.8,196.79,27.85,47.84,124.76,91.7,101.59,213.26,1.0,94.28,38.24,116.77,146.98,271.36,237.97,92.67,102.93,102.16,119.03,174.9,43.42,1.08,83.12,43.57,2.17,22.25,110.38,50.94,136.75,170.23,132.91,99.88,84.29,111.58,97.98,148.0,101.22
20150320,179.71,102.79,121.55,164.5,378.55,1.6878900000000001,38150.0,73.0,3.85,118.16,91.58,44.6,220.58,150.68,117.62,168.45,0.0022,37.47,0.0049,98.06,1.35,127.82,116.27,98.35,82.24,128.25,100.33,89.89,45.84,135.96,35.1,111.36,65.49,114.23,129.95,135.0,111.28,34.25,179.48,108.88,103.88,24.02,98.35,193.66,27.87,47.92,125.44,93.18,102.17,212.45,1.0,95.02,38.77,116.79,147.78,276.61,228.92,90.31,103.8,102.75,119.85,176.67,43.49,1.09,82.88,43.93,2.14,22.29,111.7,51.29,134.86,173.57,132.74,101.38,85.23,112.27,98.38,150.7,101.49
20150323,178.62,100.81,121.54,164.07,390.41,1.78767,36750.0,72.26,3.86,117.73,91.36,44.56,220.89,150.77,117.84,170.51,0.0023,37.29,0.0048,98.08,1.29,127.83,116.2,98.47,82.29,128.29,100.35,90.4,45.74,138.4,35.3,110.18,67.17,113.95,129.52,135.73,111.51,35.22,178.74,107.95,107.16,24.3,98.26,193.27,27.94,47.94,125.34,93.62,102.2,210.12,1.0,94.77,38.75,119.32,147.31,274.57,232.07,90.71,103.41,102.86,119.84,176.0,43.3,1.1,82.95,43.9,2.57,22.15,112.07,50.77,135.59,172.88,133.81,101.33,86.61,112.18,98.5,148.32,101.47
20150324,177.99,99.7,121.18,163.29,400.87,1.7444400000000002,36350.0,72.57,4.08,117.77,90.59,44.81,219.11,150.19,117.39,168.67,0.0024,37.02,0.0049,98.35,1.26,127.16,115.62,98.63,80.37,129.44,100.44,89.5,45.72,138.96,35.35,111.0,67.38,112.83,129.08,134.52,111.6,34.93,179.07,107.28,105.32,24.67,97.91,195.22,28.13,48.01,126.09,93.2,101.92,210.7,1.0,94.4,38.79,118.01,146.04,272.66,236.79,92.32,102.95,102.56,120.32,174.37,42.88,1.07,82.18,43.64,2.06,22.09,111.44,50.9,136.52,173.85,134.84,100.56,87.26,113.83,98.8,149.81,101.59
20150325,174.33,98.24,119.26,160.43,394.77,1.72163,39550.0,67.03,4.06,115.5,89.36,43.83,216.34,147.5,115.77,166.51,0.0022,35.32,0.0048,98.16,1.27,124.67,113.84,98.45,79.3,126.78,100.34,88.08,42.53,132.72,35.45,108.67,66.67,110.91,126.3,133.03,109.65,34.49,175.3,107.51,106.46,24.07,96.45,210.66,27.87,47.95,125.46,92.31,99.12,211.26,1.0,92.81,37.49,116.03,143.11,268.36,246.82,96.39,101.05,99.61,118.43,171.39,42.18,0.99,81.31,43.0,2.07,20.91,111.22,50.04,142.89,170.19,134.14,98.05,86.19,112.51,98.38,147.55,101.46
20150326,174.23,98.63,118.85,160.16,382.56,1.6684,39075.0,65.55,3.99,115.78,88.75,43.51,216.85,147.61,115.35,166.3,0.0021,35.09,0.0049,97.81,1.34,124.01,113.11,98.36,84.65,126.08,100.23,87.9,42.35,133.8,34.88,108.12,65.61,111.24,126.1,133.59,109.3,33.73,176.66,107.93,108.09,23.85,95.76,210.07,27.68,47.81,124.42,91.33,99.19,210.81,1.0,92.66,37.26,115.4,142.8,266.43,248.39,97.08,100.91,99.7,118.45,169.83,42.16,1.0,81.44,42.89,2.18,20.7,110.77,49.53,143.73,171.91,136.21,98.09,85.75,109.67,97.82,148.22,101.32
